customer_id,customer_key,first_name,last_name,dob,email,phone,city,state,customer_segment,join_date,credit_score
500092,CUST500092,Katherine,Thomas,07/03/1951,katherine.thomas@gmail.com,215-657-8834x65648,Detroit,GA,Private Banking,22-07-2019,549
500131,CUST500131,Teresa,Vance,20050521,teresa.vance@yahoo.com,001-874-884-8968,Newark,CA,null,"Nov 28, 2014",747
500466,CUST500466,Taylor,Glenn,12/01/2007,taylor.glenn@hotmail.com,001-641-411-5737x175,Atlanta,CO,Small Business,17-08-2020,649
500079,CUST500079,Kevin,Warner,1997-03-11,kevin.warner@gmail.com,659.385.2353,Phoenix,FL,Private Banking,11-06-2016,839
500018,CUST500018,Sara,Adams,13/01/1945,sara.adams@gmail.com,524-602-3448,Columbus,FL,Retail,20201118,491
500745,CUST500745,John,Flores,02-07-1970,john.flores@yahoo.com,n/a,New York,TX,Small Business,01-12-2016,586
500606,CUST500606,Brian,Bailey,1977-03-25,brian.bailey@yahoo.com,580.851.2214x3188,Philadelphia,N/A,Private Banking,20170513,828
500444,CUST500444,Isabella,Nguyen,09/27/1993,isabella.nguyen@gmail.com,+1-917-887-1135x21967,Columbus,CA,Retail,10/19/2016,795
500179,CUST500179,Steve,Nguyen,20010723,steve.nguyen@hotmail.com,8165503966,Denver,NY,Retail,2015-11-21,733
500327,CUST500327,Emily,Smith,1938-09-10,emily.smith@yahoo.com,UNKNOWN,Charlotte,NJ,Private Banking,25-10-2018,652
500709,cust500709,Elizabeth,Osborne,1996-10-14,elizabeth.osborne@hotmail.com,(653)891-8186,Houston,NC,Small Business,2021-09-12,685
500532,CUST500532,Kayla,Carter,1996-04-19,kayla.carter@gmail.com,727-496-7557x66852,Miami,NY,Private Banking,2020-10-29,73
500068,CUST500068,Bryce,Garrett,20080303,bryce.garrett@yahoo.com,001-580-266-7172x314,Detroit,CA,Small Business,27/03/2023,N/A
500355,CUST500355,Wendy,Clark,19380412,wendy.clark@yahoo.com,+1-986-634-6198x7698,Seattle,FL,Small Business,08/16/2023,234
500540,CUST500540,Michael,Wilson,19770330,michael.wilson@yahoo.com,+1-628-699-9229x99231,Newark,GA,Retail,20190605,845
