loan_id,customer_ref,loan_type,amount_requested,amount_approved,interest_rate,term_months,application_date,status,credit_score_at_application
LN5221,500372,Auto Loan,261808.85,233130.39,8.35,UNKNOWN,20260522,Approved,708
LN5080,500201,Business Loan,333723.1,,12.86,120,"Jun 28, 2024",Withdrawn,757
ln5136,500456,Business Loan,285660.21,283975.3,9.94,48,17-05-2024,Approved,706
LN5318,500667,Student Loan,66211.71,65690.32,n/a,24,2025-06-23,Approved,801
LN5224,michael.blair@hotmail.com,Business Loan,313768.57,,9.33,24,20230906,Withdrawn,742
LN5591,katherine.cook@yahoo.com,Personal Loan,51472.8,37202.9,11.88,48,2025-07-21,Approved,747
LN5634,susan.conley@hotmail.com,Student Loan,221684.34,,4.92,360,28-11-2022,Denied,689
LN5021,500464,Student Loan,18927.05,14832.93,9.0,60,28-06-2023,Approved,638
LN5481,james.baker@yahoo.com,Mortgage,406484.06,,10.4,120,11-01-2023,Pending Review,744
LN5553,500708,Personal Loan,31762.21,23653.72,7.02,24,"Dec 29, 2023",Approved,707
LN5269,500587,Personal Loan,"$4,100.58",3545.67,13.02,360,09/21/2025,Approved,504
LN5397,ronald.smith@hotmail.com,Mortgage,243317.89,202692.32,8.02,120,15/11/2022,Approved,null
LN5309,virginia.powell@gmail.com,Business Loan,72150.16,63108.63,13.0,60,29/05/2024,Approved,791
LN5207,500659,Personal Loan,61247.59,,5.2,360,"Jan 29, 2025",Pending Review,617
LN5194,dylan.berry@gmail.com,Personal Loan,157685.75,152330.98,14.41,12,"Jun 24, 2024",Approved,827
LN5323,500421,Auto Loan,50772.88,45824.7,7.51,12,2024-09-03,Approved,
LN5471,500051,MORTGAGE,328724.87,,4.45,48,2023-11-22,Pending Review,783
ln5220,jennifer.johnson@gmail.com,Mortgage,415996.08,353983.12,9.32,120,2024-04-02,Approved,775
LN5580,500152,Personal Loan,68858.9,48758.25,13.4,12,2024-10-06,Approved,653
LN5606,500583,Mortgage,328604.89,,6.56,36,04/02/2024,Pending Review,576
LN5542,500219,Student Loan,118813.34,118398.13,5.32,12,20220924,Approved,756
LN5321,500703,Mortgage,243766.23,191249.47,8.99,120,05/27/2025,Approved,644
LN5393,seth.potter@hotmail.com,Business Loan,137456.73,,4.43,360,20260416,Pending Review,505
LN5604,500412,Auto Loan,105482.26,,unknown,-,22/07/2023,Pending Review,607
LN5155,500370,Student Loan,404514.69,,5.24,36,30-08-2023,Denied,658
LN5398,renee.kerr@yahoo.com,Student Loan,74748.88 usd,"68,181.44",3.97,48,20230504,Approved,755
LN5149,paula.allison@yahoo.com,Personal Loan,431653.94,,11.24,unknown,"Jan 14, 2026",Denied,690
LN5545,500063,Personal Loan,80217.32,63651.29,12.96,36,"Sep 15, 2024",Approved,802
LN5038,500717,Auto Loan,144821.83,,4.08,180,"Dec 17, 2023",Denied,709
LN5264,500664,Mortgage,327041.98,258252.03,10.59,36,14/03/2026,Approved,517
LN5253,500038,Business Loan,41065.33,,11.46,60,15/05/2025,Pending Review,N/A
LN5512,   500735   ,Student Loan,425840.03,337353.71,3.56,24,05/15/2025,   Approved   ,813
LN5581,margaret.silva@hotmail.com,Mortgage,294287.29,218436.2,4.85,360,2022-09-03,Approved,769
LN5429,500133,Mortgage,"$101,460.01",98174.06,4.12,null,20230215,Approved,539
LN5009,500254,Business Loan,57206.01,,5.81,120,20230120,Denied,501
LN5161,500411,Auto Loan,432639.86,424633.6,7.68,180,27/04/2026,Approved,683
LN5193,brent.grant@gmail.com,aUTO lOAN,418301.04,321575.31,6.69,24,11/05/2024,Approved,700
LN5605,500217,Student Loan,60880.09,,10.4,24,"Mar 03, 2024",Denied,543
LN5296,sarah.english@hotmail.com,Mortgage,74450.43,,9.82,120,07-03-2025,Denied,539
LN5147,500419,Auto Loan,392295.63 usd,,13.01,36,2026-06-09,Withdrawn,unknown
